orden;sitios;codigo;fecha;año;campaña;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
12;Reserva Ecológica;SI022;25/8/2021;2021;invierno;16;13.5;8.02;7.52;Ausencia;Ausencia;Ausencia;Ausencia;1000;1000;100;7;0.8;0.35;0.35;5.5;<30;20;<100;<0.005;<0.001;<0.010;<0.20;58;Muy deteriorada
12;Reserva Ecológica;SI022;27/10/2021;2021;primavera;25;32;6.4;7.4;Ausencia;Ausencia;Ausencia;Ausencia;15000;2400;290;3.4;2.1;0.31;0.27;2.8;39;11;<100;<0.005;<0.001;<0.01;<0.20;42;Extremadamente deteriorada
13;Playa Espigón de Pacheco;SI024;24/2/2021;2021;verano;27;28;5.66;7.82;Ausencia;Ausencia;Ausencia;Presencia;7600;7000;270;5.5;0.37;0.56;0.34;<2.0;<30;35;<100;<5.0;<0.001;0.001;<0.15;42;Extremadamente deteriorada
13;Playa Espigón de Pacheco;SI024;19/5/2021;2021;otoño;15;16;9.44;7.99;Ausencia;Ausencia;Ausencia;Ausencia;2500;2000;100;6.2;0.82;0.36;0.36;13;3.9;<30;340;<100;0.007;<0.001;<10.000;48;Muy deteriorada
13;Playa Espigón de Pacheco;SI024;25/8/2021;2021;invierno;15.7;14.5;8.14;7.03;Ausencia;Ausencia;Ausencia;Ausencia;14000;4400;700;5.4;0.5;0.35;0.37;5.5;<30;23;<100;<0.005;<0.001;<0.010;<0.20;41;Extremadamente deteriorada
13;Playa Espigón de Pacheco;SI024;27/10/2021;2021;primavera;27.5;32;7.19;7.55;Ausencia;Ausencia;Ausencia;Ausencia;4000;300;30;5.6;0.1;0.31;0.3;<2.0;42;7.6;<100;<0.005;<0.001;<0.01;<0.20;54;Muy deteriorada
14;Perú Puente;SI023;24/2/2021;2021;verano;28;28;3.6;7.67;Ausencia;Ausencia;Ausencia;Presencia;40000;37000;4800;2.8;4.2;0.86;0.53;4.8;<30;5.2;<100;<5.0;<0.001;0;<0.15;33;Extremadamente deteriorada
14;Perú Puente;SI023;19/5/2021;2021;otoño;18;17;3.29;7.42;Ausencia;Ausencia;Ausencia;Ausencia;15000;12000;2000;22.1;5;0.51;0.51;4.3;5.6;<30;6.9;<100;<0.005;<0.001;<10.000;38;Extremadamente deteriorada
14;Perú Puente;SI023;25/8/2021;2021;invierno;17;14;4.07;7.27;Ausencia;Ausencia;Ausencia;Ausencia;80000;5000;2800;21;1.6;0.41;0.45;4.1;<30;9;<100;<0.005;<0.001;<0.010;<0.20;36;Extremadamente deteriorada
14;Perú Puente;SI023;27/10/2021;2021;primavera;26;32.5;5.9;7.3;Ausencia;Ausencia;Ausencia;Ausencia;5000;2000;450;9;0.6;0.36;0.32;3.1;34;9.4;<100;<0.005;<0.001;<0.01;<0.20;46;Muy deteriorada
15;Reserva Barrio El Ceibo ;VL033;24/2/2021;2021;verano;25.5;26;4.07;6.92;Ausencia;Ausencia;Ausencia;Ausencia;5000;4500;350;6.7;0.66;0.83;0.32;<2.0;<30;29;<100;<5.0;<0.001;0;<0.15;41;Extremadamente deteriorada
15;Reserva Barrio El Ceibo ;VL033;19/5/2021;2021;otoño;15;13.8;10.01;7.59;Ausencia;Ausencia;Ausencia;Ausencia;6000;2000;830;5.8;0.9;0.36;0.36;8.9;4.3;<30;250;<100;0.005;<0.001;<10.000;43;Extremadamente deteriorada
15;Reserva Barrio El Ceibo ;VL033;25/8/2021;2021;invierno;13.8;11;8.9;7.81;Ausencia;Ausencia;Ausencia;Ausencia;5000;400;100;4.9;0.3;0.34;0.37;4.9;<30;19;<100;0.0052;<0.001;<0.010;<0.20;54;Muy deteriorada
15;Reserva Barrio El Ceibo ;VL033;27/10/2021;2021;primavera;25.8;24.6;8.12;7.24;Ausencia;Ausencia;Ausencia;Ausencia;8300;900;360;4.9;1.1;0.34;0.3;3.2;67;6;<100;<0.005;<0.001;<0.01;<0.20;45;Muy deteriorada
16;Puerto de Olivos Espigón;VL032;24/2/2021;2021;verano;25.7;26;4.7;6.66;Ausencia;Ausencia;Ausencia;Presencia;5000;4000;820;5.6;0.7;1.2;0.33;<2.0;<30;29;<100;<5.0;<0.001;0;<0.15;37;Extremadamente deteriorada
16;Puerto de Olivos Espigón;VL032;19/5/2021;2021;otoño;14.8;13.8;9.32;7.81;Ausencia;Ausencia;Ausencia;Ausencia;4000;2000;1400;5.7;0.9;0.3;0.3;9.8;4.1;<30;220;<100;<0.005;<0.001;<10.000;43;Extremadamente deteriorada
16;Puerto de Olivos Espigón;VL032;25/8/2021;2021;invierno;13.5;11;9.4;7.5;Ausencia;Ausencia;Ausencia;Ausencia;20000;3000;900;5.7;0.3;0.32;0.31;4;<30;24;<100;<0.005;<0.001;<0.010;<0.20;44;Extremadamente deteriorada
16;Puerto de Olivos Espigón;VL032;27/10/2021;2021;primavera;23.6;24.2;7;7.14;Ausencia;Ausencia;Presencia;Presencia;28000;300;500;6.1;0.6;0.32;0.3;2.1;59;7.1;<100;<0.005;<0.001;<0.01;<0.20;37;Extremadamente deteriorada
17;Costa y Melo;VL031;24/2/2021;2021;verano;24.7;26;6.2;7.31;Ausencia;Ausencia;Ausencia;Presencia;4000;100;100;7.1;0.39;1.6;0.43;<2.0;<30;45;<100;<5.0;<0.001;0;<0.15;46;Muy deteriorada
