orden;sitios;codigo;fecha;año;campaña;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
29;Pejerrey Club 400 m;QU063;24/2/2021;2021;verano;25.5;18;4.66;7.34;Ausencia;Ausencia;Ausencia;Presencia;400;380;30;5.1;0.76;1;0.43;4;<30;31;<100;<5.0;<0.001;0.018;0.8;46;Muy deteriorada
29;Pejerrey Club 400 m;QU063;19/5/2021;2021;otoño;15;11;7.58;7.42;Ausencia;Ausencia;Ausencia;Ausencia;7000;2000;10;4.4;0.82;0.73;0.73;7;4.5;<30;70;<100;0.005;<0.001;<10.000;48;Muy deteriorada
29;Pejerrey Club 400 m;QU063;25/8/2021;2021;invierno;13.1;7;8.63;7.93;Ausencia;Ausencia;Ausencia;Ausencia;10000;500;140;3.7;1;0.46;0.34;8.1;<30;18;<100;<0.005;<0.001;<0.010;<0.20;47;Muy deteriorada
29;Pejerrey Club 400 m;QU063;27/10/2021;2021;primavera;24.3;28;13.18;8.11;Ausencia;Ausencia;Ausencia;Ausencia;2800;100;40;2.9;0.6;0.57;0.51;4.4;88;11;<100;<0.005;<0.001;0.07239;<0.20;49;Muy deteriorada
30;Calle 14 y Costa - Salida cloaca;BZ078;24/2/2021;2021;verano;no se midió;28.5;12.87;9.31;Presencia;Ausencia;Ausencia;Presencia;6000;5000;185;4;0.42;0.82;0.5;no se midió;59;75;<100;8.6;<0.001;0.053;<0.15;33;Extremadamente deteriorada
30;Calle 14 y Costa - Salida cloaca;BZ078;19/5/2021;2021;otoño;13;18;15.2;9.66;Ausencia;Ausencia;Ausencia;Ausencia;20000;1000;500;4.3;0.08;0.22;0.22;3;9.5;40;65;<100;<0.005;<0.001;<10.000;42;Extremadamente deteriorada
30;Calle 14 y Costa - Salida cloaca;BZ078;25/8/2021;2021;invierno;12;16;10.13;8.63;Ausencia;Ausencia;Ausencia;Ausencia;10000;500;100;4.1;0.6;0.29;0.24;7.1;64;16;<100;<0.005;<0.001;<0.010;<0.20;45;Muy deteriorada
30;Calle 14 y Costa - Salida cloaca;BZ078;27/10/2021;2021;primavera;27;27.5;12.65;9.18;Ausencia;Ausencia;Ausencia;Ausencia;6000;1400;100;5.7;0.89;0.75;0.59;no se midió;140;70;<100;<0.005;<0.001;0.21265;<0.20;39;Extremadamente deteriorada
31;Puerto Trinidad calle 47;BZ077;24/2/2021;2021;verano;25.5;26;7.51;7.65;Ausencia;Ausencia;Ausencia;Ausencia;3000;2800;3000;6.2;0.54;0.64;0.94;no se midió;55;120;<100;44;<0.001;0.019;<0.15;35;Extremadamente deteriorada
31;Puerto Trinidad calle 47;BZ077;19/5/2021;2021;otoño;13;16;12.39;9.23;Ausencia;Ausencia;Ausencia;Ausencia;29000;1000;800;5.9;0.24;0.22;0.22;4.2;9.8;33;75;<100;<0.005;<0.001;<10.000;41;Extremadamente deteriorada
31;Puerto Trinidad calle 47;BZ077;25/8/2021;2021;invierno;13;12.5;11.82;8.8;Ausencia;Ausencia;Ausencia;Ausencia;1000;100;300;3.5;0.7;0.22;0.2;7.7;125;12;<100;<0.005;<0.001;<0.010;<0.20;61;Muy deteriorada
31;Puerto Trinidad calle 47;BZ077;27/10/2021;2021;primavera;26;26;12.47;9.07;Ausencia;Ausencia;Ausencia;Ausencia;800;200;30;5.9;0.5;0.36;0.25;no se midió;52;27;<100;<0.005;<0.001;0.09909;<0.20;52;Muy deteriorada
32;Costanera Hudson Calle 63;BZ080;24/2/2021;2021;verano;23.5;26;9.05;7.87;Ausencia;Ausencia;Ausencia;Ausencia;2250;500;185;4.1;0.15;0.58;0.59;6;50;50;<100;7.8;<0.001;0.061;<0.15;51;Muy deteriorada
32;Costanera Hudson Calle 63;BZ080;19/5/2021;2021;otoño;11;15;12.67;9.44;Ausencia;Ausencia;Ausencia;Ausencia;5000;800;600;3.2;0.1;0.75;0.75;3.1;11;43;80;<100;0.008;<0.001;<10.000;44;Extremadamente deteriorada
32;Costanera Hudson Calle 63;BZ080;25/8/2021;2021;invierno;12;10;10.16;9.36;Ausencia;Ausencia;Ausencia;Ausencia;10000;1000;100;3.4;0.7;<0.20;0.15;9.4;62;21;<100;0.0052;<0.001;0.221;<0.20;43;Extremadamente deteriorada
32;Costanera Hudson Calle 63;BZ080;27/10/2021;2021;primavera;26;26;11.52;8.94;Ausencia;Ausencia;Ausencia;Ausencia;190000;20000;500;5.4;0.34;0.47;0.19;13;no se midió;50;<100;0.0057;<0.001;0.84016;<0.20;33;Extremadamente deteriorada
33;Boca Cerrada (Res.Nat. Punta Lara);EN-adic;27/10/2021;2021;primavera;no se midió;28;no se midió;no se midió;Ausencia;Ausencia;Ausencia;Ausencia;6000;200;20;7.5;0.07;0.43;0.19;5.6;61;31;<100;0.0059;<0.001;0.07891;<0.20;46;Muy deteriorada
33;Camping Eva Perón;EN081;24/2/2021;2021;verano;23.8;20;8.27;7.98;Ausencia;Ausencia;Ausencia;Ausencia;2200;50;30;7;0.16;1.1;0.41;3.1;<30;39;<100;<5.0;<0.001;0.035;<0.15;51;Muy deteriorada
33;Camping Eva Perón;EN081;19/5/2021;2021;otoño;12.9;12;12.04;9.32;Ausencia;Ausencia;Ausencia;Ausencia;300;20;10;5.4;7;0.57;0.57;4.1;8.8;<30;60;<100;<0.005;<0.001;<10.000;56;Muy deteriorada
33;Camping Eva Perón;EN081;25/8/2021;2021;invierno;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
34;Camping Eva Perón;EN081;27/10/2021;2021;primavera;22.7;27;12.22;9.18;Ausencia;Ausencia;Ausencia;Ausencia;300;20;4;6.9;0.14;0.33;0.16;7.1;82;45;<100;<0.005;<0.001;0.11036;<0.20;58;Muy deteriorada
34;Toma de agua Club de Pesca;EN082;24/2/2021;2021;verano;24.5;20;4.1;7.58;Ausencia;Ausencia;Ausencia;Ausencia;1300;100;280;7.5;0.2;0.88;0.33;<2.0;<30;40;<100;8.7;<0.001;0.015;<0.15;50;Muy deteriorada
34;Toma de agua Club de Pesca;EN082;19/5/2021;2021;otoño;14.2;12;11.48;8.95;Ausencia;Ausencia;Ausencia;Ausencia;400;30;10;6.4;0.26;0.26;0.26;2.1;2.8;<30;45;<100;<0.005;<0.001;<10.000;72;Deteriorada
34;Toma de agua Club de Pesca;EN082;25/8/2021;2021;invierno;11.4;4;12.47;9.44;Ausencia;Ausencia;Ausencia;Ausencia;300;100;110;5.1;1.1;0.41;0.37;8.8;47;31;<100;<0.005;<0.001;0.131;<0.20;58;Muy deteriorada
35;Arroyo El Gato;EN083;24/2/2021;2021;verano;22.9;20;0.59;7.36;Ausencia;Ausencia;Ausencia;Presencia;3000;400;300;6.6;2.4;1;0.63;5.8;<30;36;<100;<5.0;<0.001;0.011;<0.15;40;Extremadamente deteriorada
35;Arroyo El Gato;EN083;19/5/2021;2021;otoño;14.5;11;4.47;7.68;Ausencia;Ausencia;Ausencia;Ausencia;10000;2800;1600;6.5;4.3;0.38;0.38;3.8;12;<30;16;<100;<0.005;<0.001;<10.000;38;Extremadamente deteriorada
35;Arroyo El Gato;EN083;25/8/2021;2021;invierno;12.1;4;12.72;9.25;Ausencia;Ausencia;Ausencia;Ausencia;700;20;50;4.4;0.7;<0.20;0.11;5.2;<30;23;<100;<0.005;<0.001;<0.010;<0.20;67;Deteriorada
35;Toma de agua Club de Pesca;EN082;27/10/2021;2021;primavera;24.7;27;8.57;8.17;Ausencia;Ausencia;Ausencia;Ausencia;100;5;6;6.2;0.61;0.21;0.18;2.1;<30;14;<100;<0.005;<0.001;<0.01;<0.20;65;Deteriorada
36;Arroyo El Gato;EN083;27/10/2021;2021;primavera;22.4;27;3.91;7.56;Ausencia;Ausencia;Ausencia;Ausencia;6100;5100;660;4.6;4.1;0.28;<0.10;12;48;15;<100;<0.005;<0.001;<0.01;<0.20;39;Extremadamente deteriorada
36;Ensenada Prefectura Isla Santiago;EN084;24/2/2021;2021;verano;24.7;20;5.61;7.67;Ausencia;Ausencia;Ausencia;Ausencia;160;120;90;8.2;0.1;0.61;0.25;<2.0;<30;26;<100;<5.0;<0.001;0.009;<0.15;57;Muy deteriorada
36;Ensenada Prefectura Isla Santiago;EN084;19/5/2021;2021;otoño;14.4;11;9.11;8.1;Ausencia;Ausencia;Ausencia;Ausencia;600;100;20;8.1;0.06;0.23;0.23;3.2;2.2;<30;39;<100;<0.005;<0.001;<10.000;74;Deteriorada
36;Ensenada Prefectura Isla Santiago;EN084;25/8/2021;2021;invierno;12.9;4;9.27;8.04;Ausencia;Ausencia;Ausencia;Ausencia;500;100;380;3.5;2.9;0.28;0.14;6.3;<30;19;<100;<0.005;<0.001;<0.010;<0.20;60;Muy deteriorada
37;Balneario Palo Blanco;BS092;24/2/2021;2021;verano;21;27;4.91;7.4;Ausencia;Ausencia;Ausencia;Ausencia;1800;1500;480;3.1;2;0.77;0.47;4.7;<30;16;<100;<5.0;<0.001;0.007;<0.15;43;Extremadamente deteriorada
37;Balneario Palo Blanco;BS092;19/5/2021;2021;otoño;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
37;Balneario Palo Blanco;BS092;25/8/2021;2021;invierno;11.9;4;12.61;8.95;Ausencia;Ausencia;Ausencia;Ausencia;1600;100;160;3.9;1.8;<0.20;0.11;3.6;<30;23;<100;<0.005;<0.001;<0.010;<0.20;60;Muy deteriorada
37;Ensenada Prefectura Isla Santiago;EN084;27/10/2021;2021;primavera;22;27;8.7;8.15;Ausencia;Ausencia;Ausencia;Ausencia;400;100;225;7.9;0.74;0.22;0.13;3.9;41;25;<100;<0.005;<0.001;0.02492;<0.20;58;Muy deteriorada
38;Balneario Palo Blanco;BS092;27/10/2021;2021;primavera;10;19;8.2;8.01;Ausencia;Ausencia;Ausencia;Presencia;40000;1000;12;3.5;3.1;1.1;0.25;6.8;62;14;<100;<0.005;<0.001;0.06289;<0.20;38;Extremadamente deteriorada
38;Diagonal 66 (descarga cloaca);BS095;24/2/2021;2021;verano;24;27;4.28;7.47;Presencia;Presencia;Presencia;Presencia;80000;1500;480;4;5.3;1.9;1.2;6.3;45;5.9;<100;<5.0;<0.001;0.005;<0.15;26;Extremadamente deteriorada
38;Diagonal 66 (descarga cloaca);BS095;19/5/2021;2021;otoño;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
38;Diagonal 66 (descarga cloaca);BS095;25/8/2021;2021;invierno;10;12;6.32;7.77;Ausencia ;Ausencia;Ausencia;Ausencia;80000;10000;3700;<2.0;9.3;1.3;1.2;6.9;35;10;<100;<0.005;<0.010;<0.010;<0.20;37;Extremadamente deteriorada
39;Diagonal 66 (descarga cloaca);BS095;27/10/2021;2021;primavera;10;19;5.79;7.71;Presencia;Presencia;Presencia;Presencia;140000;12000;28000;<2.0;14;1.6;1.5;11;55;7;<100;<0.005;<0.001;0.02551;<0.20;26;Extremadamente deteriorada
39;Playa La Bagliardi;BS091;24/2/2021;2021;verano;20;26;5.09;7.43;Ausencia;Ausencia;Ausencia;Presencia;1000;360;300;3.5;5.4;1.4;1.1;3.9;73;18;<100;<5.0;<0.001;0.005;<0.15;42;Extremadamente deteriorada
39;Playa La Bagliardi;BS091;19/5/2021;2021;otoño;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
39;Playa La Bagliardi;BS091;25/8/2021;2021;invierno;10;12;6.84;8.14;Presencia;Presencia;Presencia;Presencia;100000;30000;6200;<2.0;13;1.5;1.5;5.5;125;8.7;<100;<0.005;<0.001;<0.010;<0.20;28;Extremadamente deteriorada
40;Balneario Municipal;BS094;24/2/2021;2021;verano;21;27;5.89;7.79;Ausencia;Ausencia;Ausencia;Ausencia;400;20;180;3.3;0.98;0.78;1.1;2.4;<30;210;<100;13;0.0017;0.011;<0.15;49;Muy deteriorada
40;Balneario Municipal;BS094;19/5/2021;2021;otoño;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
40;Balneario Municipal;BS094;25/8/2021;2021;invierno;8;10;9.7;8.04;Ausencia;Ausencia;Ausencia;Ausencia;15000;1500;1000;4.2;0.2;0.56;0.44;7;<30;29;<100;<0.005;<0.001;<0.010;<0.20;41;Extremadamente deteriorada
40;Playa La Bagliardi;BS091;27/10/2021;2021;primavera;11;19;5.7;7.78;Ausencia;Presencia;Ausencia;Presencia;10000;700;300;<2.0;0.9;1.1;1.2;3;50;4.9;<100;<0.005;<0.001;<0.01;<0.20;39;Extremadamente deteriorada
41;Balneario Municipal;BS094;27/10/2021;2021;primavera;11;19;7.58;8.21;Ausencia;Ausencia;Ausencia;Ausencia;110;290;15;4.1;0.41;0.31;0.27;2.5;57;70;<100;<0.005;<0.001;0.04153;<0.20;62;Muy deteriorada
41;Playa La Balandra;BS093;24/2/2021;2021;verano;20;26;4.89;7.75;Ausencia;Ausencia;Ausencia;Ausencia;1200;400;240;3.3;1.8;0.73;0.42;2.7;<30;5.3;<100;<5.0;<0.001;0.006;<0.15;46;Muy deteriorada
41;Playa La Balandra;BS093;19/5/2021;2021;otoño;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
41;Playa La Balandra;BS093;25/8/2021;2021;invierno;7;9;9.99;9.22;Ausencia;ausenca;Ausencia;Ausencia;300;20;20;<2.0;1.3;0.33;0.23;5;<30;75;<100;<0.005;<0.001;<0.010;<0.20;46;Muy deteriorada
42;Playa La Balandra;BS093;25/8/2021;2021;invierno;7;8;10.7;9.19;Ausencia;Ausencia;Ausencia;Ausencia;4200;80;240;<2.0;0.7;0.45;0.22;7.3;37;75;<100;<0.005;<0.001;<0.010;<0.20;43;Extremadamente deteriorada
42;Playa La Balandra;BS093;27/10/2021;2021;primavera;11;19;8.29;8.39;Ausencia;Presencia;Ausencia;Presencia;3600;170;2;3.9;0.11;<0.20;0.11;3;58;50;<100;<0.005;<0.001;0.08366;<0.20;49;Muy deteriorada
